zeit,temp_wasser,temp_wuerfel
1609.7,52.38,28.25
1610.3,52.38,28.0
1610.9,52.31,28.5
1611.5,52.31,28.25
1612.1,52.31,28.5
1612.7,52.31,28.0
1613.3,52.38,28.0
1613.9,52.31,28.25
1614.5,52.38,28.25
1615.1,52.38,28.25
1615.7,52.31,28.75
1616.3,52.31,28.25
1616.9,52.31,28.5
1617.5,52.31,28.5
1618.1,52.31,28.5
1618.7,52.31,28.25
1619.3,52.31,28.5
1619.9,52.31,28.0
1620.5,52.31,28.5
1621.1,52.31,28.25
1621.7,52.31,28.5
1622.3,52.31,28.5
1622.9,52.31,28.5
1623.5,52.31,28.5
1624.1,52.31,28.5
1624.7,52.31,28.5
1625.3,52.31,28.5
1625.9,52.31,28.5
1626.5,52.25,29.0
1627.1,52.31,27.75
1627.7,52.31,28.5
1628.3,52.31,28.5
1628.9,52.31,28.5
1629.5,52.25,28.25
1630.1,52.31,28.25
1630.7,52.25,28.5
1631.3,52.31,28.5
1631.9,52.31,28.0
1632.5,52.25,28.5
1633.1,52.25,28.5
1633.7,52.25,28.0
1634.3,52.25,28.5
1634.9,52.25,27.75
1635.5,52.25,28.25
1636.1,52.25,28.0
1636.7,52.31,28.75
1637.3,52.25,28.5
1637.9,52.25,28.0
1638.5,52.25,28.5
1639.1,52.25,28.5
1639.7,52.25,27.5
1640.3,52.25,28.5
1640.9,52.25,28.25
1641.5,52.25,28.5
1642.1,52.25,28.5
1642.7,52.25,28.0
1643.3,52.25,28.25
1643.9,52.25,28.0
1644.5,52.25,28.75
1645.0,52.25,28.5
1645.7,52.25,28.25
1646.2,52.25,28.25
1646.9,52.25,28.25
1647.4,52.19,28.0
1648.1,52.25,28.0
1648.6,52.25,28.0
1649.3,52.25,28.25
1649.8,52.25,28.75
1650.4,52.25,28.5
1651.0,52.25,28.5
1651.6,52.19,28.5
1652.2,52.25,27.5
1652.8,52.19,28.0
1653.4,52.19,28.25
1654.0,52.25,28.25
1654.6,52.25,28.5
1655.2,52.25,28.25
1655.8,52.19,28.5
1656.4,52.25,28.5
1657.0,52.25,28.5
1657.6,52.25,28.25
1658.2,52.19,28.5
1658.8,52.19,28.25
1659.4,52.19,28.25
1660.0,52.19,28.5
1660.6,52.19,27.75
1661.2,52.19,28.5
1661.8,52.19,28.0
1662.4,52.19,28.25
1663.0,52.19,27.75
1663.6,52.19,28.5
1664.2,52.19,28.0
1664.8,52.19,28.5
1665.4,52.19,28.5
1666.0,52.19,28.5
1666.6,52.19,28.5
1667.3,52.13,28.25
1667.8,52.19,28.0
1668.4,52.13,28.25
1669.0,52.13,28.0
1669.6,52.13,28.75
1670.2,52.19,28.25
1670.8,52.13,28.5
1671.4,52.13,28.0
1672.0,52.13,28.0
1672.6,52.13,28.0
1673.2,52.13,28.5
1673.8,52.13,28.0
1674.4,52.13,28.5
1675.0,52.13,28.5
1675.6,52.13,28.5
1676.2,52.13,28.0
1676.8,52.13,28.75
1677.4,52.13,28.0
1678.0,52.13,28.25
1678.6,52.13,28.25
1679.2,52.13,28.5
1679.8,52.13,28.5
1680.4,52.13,28.25
1681.0,52.13,28.5
1681.6,52.13,28.25
1682.2,52.13,28.5
1682.8,52.06,28.5
1683.4,52.13,28.5
1684.0,52.13,28.25
1684.6,52.13,28.0
1685.2,52.06,28.0
1685.8,52.13,28.5
1686.4,52.06,28.5
1687.0,52.06,28.5
1687.6,52.13,28.5
1688.2,52.06,28.0
1688.8,52.06,28.5
1689.4,52.06,28.25
1690.0,52.06,28.5
1690.6,52.06,28.5
1691.2,52.13,28.25
1691.8,52.06,28.75
1692.4,52.06,28.0
1693.0,52.06,28.5
1693.6,52.06,28.0
1694.2,52.06,28.25
1694.8,52.06,28.0
1695.4,52.06,28.5
1696.0,52.06,28.5
1696.6,52.06,28.5
1697.2,52.06,28.5
1697.8,52.06,28.5
1698.4,52.06,28.5
1699.0,52.06,27.5
1699.6,52.06,28.5
1700.2,52.06,28.0
1700.8,52.06,28.25
1701.4,52.06,28.75
1702.0,52.06,28.25
1702.6,52.06,28.0
1703.2,52.06,28.5
1703.8,52.06,28.0
1704.4,52.06,28.5
1705.0,52.06,28.25
1705.6,52.0,28.5
1706.2,52.06,28.25
1706.8,52.06,28.0
1707.4,52.06,28.5
1708.0,52.06,28.25
1708.6,52.06,28.5
1709.1,52.0,28.0
1709.8,52.0,28.5
1710.3,52.0,28.25
1710.9,52.0,28.25
1711.5,52.0,28.5
1712.1,52.06,28.5
1712.8,52.06,28.0
1713.3,52.0,28.25
1713.9,52.0,28.5
1714.5,52.0,28.0
1715.1,52.0,28.25
1715.7,52.0,28.25
1716.3,52.0,28.0
1716.9,52.0,28.25
1717.5,52.0,28.5
1718.1,52.0,28.25
1718.7,52.0,28.75
1719.3,52.0,28.5
1719.9,52.0,28.25
1720.5,52.0,28.5
1721.1,52.0,28.5
1721.7,52.0,28.5
1722.3,52.0,28.75
1722.9,52.0,28.25
1723.5,52.0,28.5
1724.1,52.0,28.25
1724.7,52.0,28.5
1725.3,52.0,28.5
1725.9,51.94,28.25
1726.5,52.0,28.0
1727.1,51.94,28.0
1727.7,52.0,28.0
1728.3,52.0,28.5
1728.9,51.94,28.25
1729.5,51.94,28.25
1730.1,51.94,28.25
1730.7,51.94,28.25
1731.3,51.94,28.75
1731.9,51.94,28.25
1732.5,51.94,28.25
1733.1,51.94,28.5
1733.7,51.94,28.5
1734.3,51.94,28.5
1734.9,51.94,28.25
1735.5,51.94,28.75
1736.1,51.94,28.25
1736.7,51.94,28.25
1737.3,51.94,28.5
1737.9,51.94,28.5
1738.5,51.94,28.25
1739.1,51.88,28.75
1739.7,51.94,28.75
